,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,expr_label,median_expr_label,z_label,median_z_label,SPEER,SPEER without transfer,RIVER,shared tissue genome only,tissue specific genome only,tissue
8159,1.0,0.8041964722002669,0.0863475556931539,0.618105915710822,0.5473579721538906,0.5720618778063092,0.5207673553286521,0.2282111484639501,0.369812740616527,0.2779001084443717,0.9696594360594422,0.3225907324194244,0.6385976381890868,0.5639418457005225,0.7270299636686057,0.28836303308923367,0.822239175831811,0.10224599674392088,0.09804784529487832,0.4842157629278515,0.0773699174894641,1,0,1,1,0.9999973662640456,0.9953322806693116,-1,-1,-1,digestive
6332,1.0,0.192756647573175,0.04094104889029859,0.7754185264035252,0.09239697552081137,0.9004464192501985,0.5664613292649722,0.3572909466724506,0.413167425492326,0.04123559963224154,0.7795884083259612,0.888414387125049,0.025080582386943103,0.7316719666915635,0.18880764866574706,0.288178053674943,0.18817578805586696,0.8074027011121334,0.941730546099006,0.7151666822998491,0.29186990070403185,1,0,1,1,0.9998844062969905,0.9839095377422369,-1,-1,-1,digestive
8895,1.0,0.194981354654734,0.2612943236039907,0.41973145627941855,0.7939364132586506,0.6193715697109052,0.7243948475195866,0.5011992125470212,0.29751053861247223,0.28991700057836933,0.6759318341804744,0.7700142521547148,0.17565232548899745,0.15557065359619016,0.6107999514442454,0.899702616039735,0.6199197158161988,0.7020998635348481,0.6591411171158632,0.949952190908546,0.404460774977178,0,0,0,0,0.17758120115377454,0.002419005975481324,-1,-1,-1,digestive
5351,1.0,0.4872822305982851,0.8326424773225226,0.9196444856678326,0.920991855987024,0.23604734603191765,0.6682326737143715,0.495808453756193,0.8673095216324641,0.7948708916547085,0.6202820895659468,0.5173280502648832,0.2886019845136682,0.7030226301706523,0.5802726129815725,0.32497384137897023,0.4163766447890868,0.08093733840779681,0.5444670616727942,0.152307805032572,0.8822623674802464,1,0,1,0,0.9653121513132172,0.999459757732593,-1,-1,-1,digestive
4314,1.0,0.764739554106827,0.09904426503915463,0.8778243949413934,0.5560568436650075,0.2602932288491024,0.1470984956912891,0.22249493697151745,0.323110922179376,0.32820728251101206,0.01846413618946896,0.4964554595922124,0.6600103983080037,0.18575447831455782,0.8922508052014401,0.1584182001336744,0.8441679180902536,0.4666353025018062,0.20654200348708626,0.27407880616089675,0.1487577871710104,0,0,1,1,0.9823495012653041,0.7578151200130996,-1,-1,-1,digestive
3987,1.0,0.9952466286563648,0.4523592780836959,0.9720116523923902,0.2666147543491094,0.6825885767254266,0.8715560472103842,0.0740921406807099,0.43234468940678467,0.645256795583786,0.8297059554241882,0.03686654491680019,0.16665556107022172,0.007468873146673772,0.3830604265815815,0.21082798722760807,0.426200113573448,0.7898616017642429,0.2872807682780801,0.05404321512353282,0.61534554568649,1,0,1,1,0.9999998671200879,0.9994812512135411,-1,-1,-1,digestive
3300,1.0,0.026868675974591416,0.38759599732797445,0.24269919056619715,0.4431596616357388,0.8025800477172795,0.2689677364039284,0.422333840259762,0.08112130707522945,0.0753279972555152,0.942159228005948,0.4994401069063837,0.6595244135070543,0.07576312764836035,0.5515808860971537,0.294071193707067,0.557082024896774,0.4382606024919268,0.7346613135869549,0.4590099693397778,0.5071580434270107,1,0,1,1,0.9999802911852054,0.9720124234862204,-1,-1,-1,digestive
370,1.0,0.934401885771996,0.884085051621319,0.13194279459991431,0.7255341384804082,0.8877972158564426,0.9238906642667823,0.9319826088154652,0.7259407170966359,0.2046457614378455,0.2420272145478283,0.2712176996883813,0.4887465891136803,0.513891033616588,0.5760248871224943,0.6790250140769106,0.10847275072597062,0.10301075522689017,0.98851971851009,0.648433108405377,0.7250263691147274,0,0,0,0,0.0002240902214184644,0.00017839677771962337,-1,-1,-1,digestive
7647,1.0,0.21885301951707706,0.7117555770467192,0.961125219060856,0.840265090201439,0.3094550474176348,0.1339473829138158,0.008558547428089813,0.920208898997281,0.4426114289880236,0.2250189253159845,0.021532343319242364,0.6333999121556972,0.2717479732064848,0.5906993498951478,0.5636078699345536,0.9445700343429824,0.8555040821151635,0.06305468989960006,0.19579904534316517,0.5293758811203104,1,0,1,1,0.9999999935592009,0.9999999976238229,-1,-1,-1,digestive
4763,1.0,0.3388937024556683,0.4501168637134432,0.8302747117957686,0.6834409504281085,0.353378915859102,0.15915528139180934,0.8763020949606619,0.08495157881536064,0.04835482917657386,0.639229577395598,0.10241763565308115,0.5387446847851473,0.04539335299377178,0.2611288421857613,0.5069025531646421,0.5714939131386216,0.5039743804141823,0.952251267599415,0.5930919478263913,0.7946076124499126,1,0,1,1,0.9999803555630553,0.9984800360236235,-1,-1,-1,digestive
2170,1.0,0.2109635819042377,0.01038010524329669,0.29512765178831546,0.1104430219053849,0.99967350257535,0.5173700172591853,0.7192059786662232,0.32058220071419613,0.496850073538834,0.7551507631582761,0.035498250884645866,0.27037111868941943,0.4572862274343231,0.00873467807391015,0.5200764588118445,0.8828528120986161,0.13553143294239112,0.2423228467945283,0.07982423771391166,0.6171348479512946,0,0,1,1,0.9997025391246365,0.998763133293512,-1,-1,-1,digestive
4125,1.0,0.2492510304907344,0.4336584104540237,0.7775482221562307,0.567176529573631,0.6599048541339889,0.6410752079123402,0.5018154467244819,0.4827303127710778,0.4091369115758985,0.755069875815168,0.7414195896034158,0.5794574661783254,0.6227144477241935,0.0285446324431724,0.19300657786458894,0.3963952726018237,0.3071688631725088,0.656578943692487,0.022868622315484366,0.4036299598847559,0,0,1,1,0.9998163601173091,0.988707709211216,-1,-1,-1,digestive
